"sub","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_PR002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Dr. Robert Smith"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RG001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","robert.moore@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_P001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Robert Moore"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_RG005"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","david.lee@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Chair"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PHY001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_B003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_A003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teacherOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_C003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_TA003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_S003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","David Lee"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_P007","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_P007","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_PR002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_P007","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","David Wilson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P012","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_CSD001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P012","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","linda.green@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P012","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P012","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","CS103"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P012","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Linda Green"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_PHYS001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","james.wilson@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","PHYS101"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","James Wilson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G12_A001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G12_A001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-09-15"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G12_A001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Modern Algorithmic Techniques"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_PR004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Program"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_PR004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_D003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_PR004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Bachelor of Science in Physics"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_S009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_S009","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Olivia Black"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G13_S001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G13_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G13_S001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","john.doe@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G13_S001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#AdministrativeStaff"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G13_S001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","John Doe"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_A003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_A003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-10-05"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G15_A003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Modern Software Engineering Practices"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G3_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
