"sub","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","frank.black@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Chair"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_D002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_B002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Frank Black"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PR001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Michael Wilson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_D002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","lisa.miller@oxford.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
