"sub","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_R002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_D002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Robotics"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_B001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Book"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_B001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-08-20"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_B001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Modern AI Techniques"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RG001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","eve.wilson@oxford.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_P002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G10_RA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Eve Wilson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PR001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Dr. Sarah Williams"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G20_B001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Book"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G20_B001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-06-20"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G20_B001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Data Science Fundamentals"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_DIR001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_DIR001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_PG001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_DIR001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Dr. Michael Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G17_TA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","michael.brown@techglobal.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G17_TA001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G17_TA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G17_C001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G17_TA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Michael Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","pwilson@stateuniversity.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Chair"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_D002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_A002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G7_P005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Professor Wilson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G12_A001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G12_A001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","October 1, 2023"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G12_A001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Advancements in AI"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G22_S001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G22_S001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#memberOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G22_U001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G22_S001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Emma Davis"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G22_S001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G22_C001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PR002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Program"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PR002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_D002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PR002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Electrical Engineering Major"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_P006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_P006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_PG002"
