"sub","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Program"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_D004"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Structural Engineering"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_RG003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","sarah.johnson@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_RA003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_P003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G27_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Sarah Johnson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#memberOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_U001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","James Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G24_Department003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G24_Department003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G24_University001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G24_Department003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Physics"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_R002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G19_RG002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Mathematical Models Research Group"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_B001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Book"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G16_B001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","November 10, 2023"
